 SÂMIA BOMFIM,APERFEIÇOAMENTO PROFISSIONAL,RAFAEL DA SILVA VILELA,14.906.322/0001-09,"3.500,00",01/2017
 SÂMIA BOMFIM,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"290,20",02/2017
 SÂMIA BOMFIM,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"435,60",02/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,ADJ COMÉRCIO DE CARIMBOS E IMPRESSOS LTDA. ME,02.320.179/0001-90,"270,88",02/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,SPEED PAPER SERVIÇOS GRÁFICOS E CÓPIAS LTDA-ME,60.867.678/0001-06,"203,16",02/2017
 SÂMIA BOMFIM,REPROGRAFIA (XEROX/ENCADERNAÇÃO),JOAQUIM FERREIRA JUNIOR GRAFICA,10.917.231/0001-18,"450,00",02/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"4.250,00",03/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",03/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,KARINA MARIA DA SILVA,13.962.882/0001-18,"0,00",03/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,PEDRO MAIA VEIGA FOTOGRAFIA,27.139.065/0001-79,"5.000,00",03/2017
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",03/2017
 SÂMIA BOMFIM,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"365,99",03/2017
 SÂMIA BOMFIM,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.361,78",03/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,EASY PAPER COMERCIAL LTDA.,01.855.241/0001-85,"720,00",03/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA.,43.283.811/0010-40,"55,80",03/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO INDUSTRIA GRÁFICA LTDA,43.283.811/0139-95,"137,60",03/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"3.050,00",04/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",04/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FRANCISCO CARLOS DE SOUZA EIRELI - EPP,19.846.350/0001-00,"1.200,00",04/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,KARINA MARIA DA SILVA,13.962.882/0001-18,"0,00",04/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,PEDRO MAIA VEIGA FOTOGRAFIA,27.139.065/0001-79,"5.000,00",04/2017
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",04/2017
 SÂMIA BOMFIM,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"540,18",04/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,ADJ COMÉRCIO DE CARIMBOS E IMPRESSOS LTDA. ME,02.320.179/0001-90,"75,00",04/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA.,43.283.811/0013-93,"71,20",04/2017
 SÂMIA BOMFIM,REPROGRAFIA (XEROX/ENCADERNAÇÃO),SPEED PAPER SERVIÇOS GRÁFICOS E CÓPIAS LTDA-ME,60.867.678/0001-06,"100,00",04/2017
 SÂMIA BOMFIM,ASSINATURA DE JORNAIS E REVISTAS,VALOR ECONOMICO S/A,03.687.592/0001-50,"478,80",05/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FORMA CERTA GRAFICA  DIGITAL LTDA,07.691.829/0001-27,"298,00",05/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"3.952,00",05/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",05/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,KARINA MARIA DA SILVA,13.962.882/0001-18,"0,00",05/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,PEDRO MAIA VEIGA FOTOGRAFIA,27.139.065/0001-79,"5.000,00",05/2017
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",05/2017
 SÂMIA BOMFIM,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"21,65",05/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA.,43.283.811/0010-40,"312,10",05/2017
 SÂMIA BOMFIM,REPROGRAFIA (XEROX/ENCADERNAÇÃO),PLANET COP EDITORAÇÃO E COMUNICAÇÃO VISUAL,15.486.082/0001-01,"140,00",05/2017
 SÂMIA BOMFIM,ASSINATURA DE JORNAIS E REVISTAS,EMPRESA FOLHA DA MANHÃ S.A.,60.579.703/0001-48,"358,80",06/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"4.250,00",06/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",06/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,PEDRO MAIA VEIGA FOTOGRAFIA,27.139.065/0001-79,"8.000,00",06/2017
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",06/2017
 SÂMIA BOMFIM,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"713,88",06/2017
 SÂMIA BOMFIM,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"59,94",06/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,GLOBAL ACTION COM. SERV. DE EQUIP.DE INFORMATICA LTDA.,11.900.316/0001-56,"766,00",06/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"2.785,60",07/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",07/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,PEDRO MAIA VEIGA FOTOGRAFIA,27.139.065/0001-79,"7.700,00",07/2017
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",07/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,SUPRICORP SUPRIMENTOS LTDA,54.651.716/0011-50,"413,42",07/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FORMA CERTA GRAFICA  DIGITAL LTDA,07.691.829/0001-27,"4.250,00",08/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",08/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,PEDRO MAIA VEIGA FOTOGRAFIA,27.139.065/0001-79,"7.800,00",08/2017
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",08/2017
 SÂMIA BOMFIM,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"9,15",08/2017
 SÂMIA BOMFIM,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"86,40",08/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,GLOBAL ACTION COM. SERV. DE EQUIP.DE INFORMATICA LTDA.,11.900.316/0001-56,"370,00",08/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA.,43.283.811/0057-04,"405,80",08/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,SUPRICORP SUPRIMENTOS LTDA,54.651.716/0011-50,"360,69",08/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"4.250,00",09/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",09/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,PEDRO MAIA VEIGA FOTOGRAFIA,27.139.065/0001-79,"8.000,00",09/2017
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",09/2017
 SÂMIA BOMFIM,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"177,88",09/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"4.250,00",10/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",10/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,PEDRO MAIA VEIGA FOTOGRAFIA,27.139.065/0001-79,"8.000,00",10/2017
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",10/2017
 SÂMIA BOMFIM,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"491,68",10/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,GLOBAL ACTION COM. SERV. DE EQUIP.DE INFORMATICA LTDA.,11.900.316/0001-56,"493,00",10/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,SUPRICORP SUPRIMENTOS LTDA,54.651.716/0011-50,"314,17",10/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FORMA CERTA GRAFICA  DIGITAL LTDA,07.691.829/0001-27,"1.900,00",11/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"2.350,00",11/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",11/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,PEDRO MAIA VEIGA FOTOGRAFIA,27.139.065/0001-79,"7.600,00",11/2017
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",11/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"4.200,00",12/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",12/2017
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,PEDRO MAIA VEIGA FOTOGRAFIA,27.139.065/0001-79,"7.000,00",12/2017
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",12/2017
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,SUPRICORP SUPRIMENTOS LTDA,54.651.716/0011-50,"537,39",12/2017
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"3.500,00",01/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",01/2018
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,PEDRO MAIA VEIGA FOTOGRAFIA,27.139.065/0001-79,"5.500,00",01/2018
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",01/2018
 SÂMIA BOMFIM,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"173,88",01/2018
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,GLOBAL ACTION COM. SERV. DE EQUIP.DE INFORMATICA LTDA.,11.900.316/0001-56,"776,00",01/2018
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,SUPRICORP SUPRIMENTOS LTDA,54.651.716/0011-50,"398,23",01/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"3.896,34",02/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",02/2018
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",02/2018
 SÂMIA BOMFIM,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"12.070,00",02/2018
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,SUPRICORP SUPRIMENTOS LTDA,54.651.716/0011-50,"371,51",02/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FORMA CERTA GRAFICA  DIGITAL LTDA,07.691.829/0001-27,"440,00",03/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"1.800,00",03/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",03/2018
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",03/2018
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,SUPRICORP SUPRIMENTOS LTDA,54.651.716/0011-50,"231,42",03/2018
 SÂMIA BOMFIM,REPROGRAFIA (XEROX/ENCADERNAÇÃO),SPEED PAPER SERVIÇOS GRÁFICOS E CÓPIAS LTDA-ME,60.867.678/0001-06,"2.010,00",03/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FORMA CERTA GRAFICA  DIGITAL LTDA,07.691.829/0001-27,"4.250,00",04/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",04/2018
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",04/2018
 SÂMIA BOMFIM,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"10.320,56",04/2018
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,GLOBAL ACTION COM. SERV. DE EQUIP.DE INFORMATICA LTDA.,11.900.316/0001-56,"1.468,34",04/2018
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,SUPRICORP SUPRIMENTOS LTDA,54.651.716/0011-50,"391,74",04/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"4.250,00",05/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",05/2018
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,MASTTER DISTRIBUIÇÃO LTDA ME,11.848.380/0001-35,"5.065,00",05/2018
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",05/2018
 SÂMIA BOMFIM,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"528,76",05/2018
 SÂMIA BOMFIM,REPROGRAFIA (XEROX/ENCADERNAÇÃO),SPEED PAPER SERVIÇOS GRÁFICOS E CÓPIAS LTDA-ME,60.867.678/0001-06,"2.208,00",05/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"4.250,00",06/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",06/2018
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",06/2018
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,SUPRICORP SUPRIMENTOS LTDA,54.651.716/0011-50,"320,65",06/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"4.250,00",07/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",07/2018
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",07/2018
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,SUPRICORP SUPRIMENTOS LTDA,54.651.716/0011-50,"347,88",08/2018
 SÂMIA BOMFIM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,GLOBAL ACTION COM. SERV. DE EQUIP.DE INFORMATICA LTDA.,11.900.316/0001-56,"1.237,70",09/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRÁFICA CROMOCOLOR INDUSTRIA LTDA ME,09.181.015/0001-78,"4.309,67",10/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",11/2018
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,ALINE CRISTINA SILVA DE OLIVEIRA 22715672896,18.486.619/0001-13,"2.000,00",11/2018
 SÂMIA BOMFIM,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"4.250,00",11/2018
 SÂMIA BOMFIM,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GEMTE COMUNICAÇÃO LTDA ME,15.705.697/0001-73,"3.750,00",12/2018
 SÂMIA BOMFIM,CONTRATAÇAO DE PESSOA JURIDICA,ALINE CRISTINA SILVA DE OLIVEIRA 22715672896,18.486.619/0001-13,"2.000,00",12/2018
